Game, Date, PlayerID, GroupID, Track, Sandbox, Obstacles, Surface, Tire, Engine, Body, Finished, FinishedTime, TopSpeed, TimeToTopSpeed, PathCurvature1, CheckPoint1, PathCurvature2, CheckPoint2, PathCurvature3, CheckPoint3, MaxVelocity, Acceleration, AccelerationCurve, Suspension, Drag, Steer, Grip
44,7/16/2020 10:20,Reina,yo,WindingTrack,0,0,Sandy,Muscle,Roadster,Muscle,1,68.1561,17.9946,12.5185,1440,19.1365,1440,38.8409,1080,54.6595,18,5,0.6,0.5,25,5,0.6
45,7/16/2020 10:28,Reina,yo,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,33.5869,14.9858,23.3042,0,5.163,270,13.0854,270,27.4671,15,8,0.4,0.2,10,6,0.8
46,7/16/2020 10:29,Reina,yo,BumpyTrack,0,0,Normal,Roadster,Roadster,Classic,1,60.3251,19.2685,25.8825,360,11.564,1440,39.3669,720,56.0469,18,5,0.6,0.7,10,7,0.7
47,7/16/2020 10:31,Reina,yo,WindingTrack,0,0,Sandy,Muscle,Classic,Muscle,1,86.0191,14.993,48.0587,1440,26.1802,1440,50.8979,1080,69.622,15,8,0.4,0.5,25,5,0.6
48,7/16/2020 10:55,Reina,yo,MountainTrack,0,1,Icy,Classic,Classic,Roadster,0,0,18.6135,7.52727,990,49.9058,1080,71.8033,990,0,15,8,0.4,0.2,15,10,0.8
49,7/16/2020 10:58,exoSC,1billionviews,BumpyTrack,0,0,Normal,Classic,Classic,Roadster,1,74.0985,16.6969,32.5798,360,14.5718,1440,49.2672,720,68.7449,15,8,0.4,0.2,20,5,0.8
50,7/16/2020 11:00,exoSC,1billionviews,WindingTrack,0,0,Sandy,Classic,Classic,Roadster,1,80.2092,14.9863,28.5118,1440,20.1581,1440,44.0175,1080,63.7775,15,8,0.4,0.2,30,5,0.9
51,7/16/2020 11:02,exoSC,1billionviews,MountainTrack,0,1,Icy,Classic,Classic,Classic,1,75.9485,16.5488,60.8358,990,18.6057,1080,31.9529,990,64.1821,15,8,0.4,0.2,5,11,0.8
52,7/16/2020 11:08,exoSC,1billionviews,WindingTrack,0,0,Sandy,Classic,Classic,Classic,1,78.7148,14.9871,28.5407,1440,20.6593,1440,43.9712,1080,62.6135,15,8,0.4,0.2,20,6,0.9
53,7/16/2020 11:28,RK,RK,BumpyTrack,0,0,Normal,4x4,Classic,Classic,1,69.8884,16.9072,30.3465,360,13.3665,1440,45.4669,720,64.7673,15,8,0.4,1,10,6,0.9
54,7/16/2020 11:30,RK,RK,MountainTrack,0,1,Icy,Muscle,4x4,Classic,1,65.622,21.0683,2.30649,990,14.1241,1080,25.342,990,56.2643,21,11,0.8,0.5,5,10,0.5
55,7/16/2020 11:31,RK,RK,WindingTrack,0,0,Sandy,Classic,Classic,Classic,1,77.9569,14.9865,36.1671,1440,20.1033,1440,43.3039,1080,61.6451,15,8,0.4,0.2,20,6,0.9
56,7/16/2020 11:32,RK,RK,MountainTrack,0,1,Icy,4x4,4x4,Roadster,1,53.6421,22.4266,42.74,990,13.0812,1080,24.3941,990,46.1021,21,11,0.8,1,15,11,0.9
57,7/16/2020 11:34,RK,RK,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,31.9304,14.9858,29.6914,0,4.85245,270,12.6336,270,26.7738,15,8,0.4,0.2,10,6,0.8
